unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_solar_053,01,1.0,0.0,,,MISO_01_solar_053,
MISO_01_solar_054,01,3.0,0.0,,,MISO_01_solar_054,
MISO_01_solar_055,01,2.0,0.0,,,MISO_01_solar_055,
MISO_01_solar_056,01,1.5,0.0,,,MISO_01_solar_056,
MISO_01_solar_057,01,5.0,0.0,,,MISO_01_solar_057,
MISO_01_solar_058,01,1.5,0.0,,,MISO_01_solar_058,
MISO_01_solar_059,01,1.5,0.0,,,MISO_01_solar_059,
MISO_01_solar_060,01,2.2,0.0,,,MISO_01_solar_060,
MISO_01_solar_061,01,2.9,0.0,,,MISO_01_solar_061,
MISO_01_solar_062,01,4.0,0.0,,,MISO_01_solar_062,
MISO_01_solar_063,01,3.1999999999999997,0.0,,,MISO_01_solar_063,
MISO_01_solar_064,01,12.0,0.0,,,MISO_01_solar_064,
MISO_01_solar_065,01,17.9,0.0,,,MISO_01_solar_065,
MISO_01_solar_066,01,1.0,0.0,,,MISO_01_solar_066,
MISO_01_solar_067,01,2.0,0.0,,,MISO_01_solar_067,
MISO_01_solar_068,01,5.0,0.0,,,MISO_01_solar_068,
MISO_01_solar_069,01,11.0,0.0,,,MISO_01_solar_069,
MISO_01_solar_070,01,12.0,0.0,,,MISO_01_solar_070,
MISO_01_solar_071,01,13.0,0.0,,,MISO_01_solar_071,
MISO_01_solar_072,01,1.0,0.0,,,MISO_01_solar_072,
MISO_01_solar_073,01,1.0,0.0,,,MISO_01_solar_073,
MISO_01_solar_074,01,2.0,0.0,,,MISO_01_solar_074,
MISO_01_solar_075,01,20.4,0.0,,,MISO_01_solar_075,
MISO_01_solar_076,01,16.0,0.0,,,MISO_01_solar_076,
MISO_01_solar_077,01,21.0,0.0,,,MISO_01_solar_077,
MISO_01_solar_078,01,5.3,0.0,,,MISO_01_solar_078,
MISO_01_solar_079,01,7.0,0.0,,,MISO_01_solar_079,
MISO_01_solar_080,01,29.3,0.0,,,MISO_01_solar_080,
MISO_01_solar_081,01,5.0,0.0,,,MISO_01_solar_081,
MISO_01_solar_082,01,7.0,0.0,,,MISO_01_solar_082,
MISO_01_solar_083,01,5.0,0.0,,,MISO_01_solar_083,
MISO_01_solar_084,01,0.9,0.0,,,MISO_01_solar_084,
MISO_01_solar_085,01,1.0,0.0,,,MISO_01_solar_085,
MISO_01_solar_086,01,1.5,0.0,,,MISO_01_solar_086,
MISO_01_solar_087,01,8.0,0.0,,,MISO_01_solar_087,
MISO_01_solar_088,01,13.8,0.0,,,MISO_01_solar_088,
MISO_01_solar_089,01,9.5,0.0,,,MISO_01_solar_089,
MISO_01_solar_090,01,58.0,0.0,,,MISO_01_solar_090,
MISO_01_solar_091,01,34.5,0.0,,,MISO_01_solar_091,
MISO_01_solar_092,01,6.0,0.0,,,MISO_01_solar_092,
MISO_01_solar_093,01,9.5,0.0,,,MISO_01_solar_093,
MISO_01_solar_094,01,1.0,0.0,,,MISO_01_solar_094,
MISO_01_solar_095,01,150.0,0.0,,,MISO_01_solar_095,
MISO_01_solar_096,01,3.0,0.0,,,MISO_01_solar_096,
MISO_01_solar_097,01,2.5,0.0,,,MISO_01_solar_097,
MISO_01_solar_098,01,5.0,0.0,,,MISO_01_solar_098,
MISO_01_solar_099,01,3.0,0.0,,,MISO_01_solar_099,
MISO_01_solar_100,01,0.9,0.0,,,MISO_01_solar_100,
MISO_01_solar_101,01,4.0,0.0,,,MISO_01_solar_101,
MISO_01_solar_102,01,4.0,0.0,,,MISO_01_solar_102,
MISO_01_solar_103,01,22.0,0.0,,,MISO_01_solar_103,
MISO_01_solar_105,01,13.5,0.0,,,MISO_01_solar_105,
MISO_01_solar_106,01,22.8,0.0,,,MISO_01_solar_106,
MISO_01_solar_107,01,1.0,0.0,,,MISO_01_solar_107,
MISO_01_solar_108,01,4.0,0.0,,,MISO_01_solar_108,
MISO_01_solar_109,01,8.8,0.0,,,MISO_01_solar_109,
MISO_01_solar_110,01,4.9,0.0,,,MISO_01_solar_110,
MISO_01_solar_111,01,16.0,0.0,,,MISO_01_solar_111,
MISO_01_solar_112,01,4.0,0.0,,,MISO_01_solar_112,
MISO_01_solar_113,01,2.0,0.0,,,MISO_01_solar_113,
MISO_01_solar_114,01,5.0,0.0,,,MISO_01_solar_114,
MISO_01_solar_115,01,1.0,0.0,,,MISO_01_solar_115,
MISO_01_solar_116,01,6.0,0.0,,,MISO_01_solar_116,
